1, 2.000000
2, 2.000000
3, 2.000000
4, 2.000000
5, 2.000000
6, 2.000000
7, 2.000000
8, -26.000000
9, -2.000000
10, -21.000000
11, -2.000000
12, 429.000000
13, 789.000000
14, 1392.000000
15, 2938.000000
16, 3658.000000
17, 3541.000000
18, 3576.000000
19, 3573.000000
20, 3432.000000
21, 3450.000000
22, 3469.000000
23, 3322.000000
24, 3394.000000
25, 3392.000000
26, 3250.000000
27, 3352.000000
28, 3376.000000
29, 3234.000000
30, 3280.000000
31, 3325.000000
32, 3194.000000
33, 3237.000000
34, 3296.000000
35, 3160.000000
36, 3184.000000
37, 3272.000000
38, 3120.000000
39, 3160.000000
40, 3216.000000
41, 3096.000000
42, 3117.000000
43, 3170.000000
44, 3069.000000
45, 3061.000000
46, 3149.000000
47, 3050.000000
48, 3021.000000
49, 3109.000000
50, 3040.000000
51, 2973.000000
52, 3072.000000
53, 3040.000000
54, 2976.000000
55, 3061.000000
56, 208.000000
57, 0.000000
58, 0.000000
